rsc_id,name,address,district,remediation_status,cap_progress_percent,safety_training_status,cap_download_url,workers_count,scraped_at
,Contacts,,,,,,,,2026-06-21T21:53:56.097755
,Chattogram Liaison Office,,,,,,,,2026-06-21T21:53:56.101241
